DA;DA_SS;Neoplasias
Água Rasa;Agua Rasa;876
Alto de Pinheiros;Alto de Pinheiros;317
Anhanguera;Anhanguera;247
Aricanduva;Aricanduva;783
Artur Alvim;Artur Alvim;777
Barra Funda;Barra Funda;131
Bela Vista;Bela Vista;448
Belém;Belem;420
Bom Retiro;Bom Retiro;219
Brás;Bras;230
Brasilândia;Brasilandia;1679
Butantã;Butanta;440
Cachoeirinha;Cachoeirinha;1024
Cambuci;Cambuci;321
Campo Belo;Campo Belo;647
Campo Grande;Campo Grande;692
Campo Limpo;Campo Limpo;1082
Cangaíba;Cangaiba;1003
Capão Redondo;Capao Redondo;1457
Carrão;Carrao;824
Casa Verde;Casa Verde;748
Cidade Ademar;Cidade Ademar;1639
Cidade Dutra;Cidade Dutra;1156
Cidade Líder;Cidade Lider;836
Cidade Tiradentes;Cidade Tiradentes;1081
Consolação;Consolacao;480
Cursino;Cursino;903
Ermelino Matarazzo;Ermelino Matarazzo;721
Freguesia do Ó;Freguesia do O;1212
Grajaú;Grajau;1768
Guaianases;Guaianases;598
Iguatemi;Iguatemi;733
Ipiranga;Ipiranga;874
Itaim Bibi;Itaim Bibi;721
Itaim Paulista;Itaim Paulista;1147
Itaquera;Itaquera;1435
Jabaquara;Jabaquara;1630
Jaçanã;Jacana;657
Jaguara;Jaguara;182
Jaguaré;Jaguare;253
Jaraguá;Jaragua;1099
Jardim Ângela;Jardim Angela;1469
Jardim Helena;Jardim Helena;846
Jardim Paulista;Jardim Paulista;662
Jardim São Luis;Jardim Sao Luis;1433
José Bonifácio;Jose Bonifacio;691
Lajeado;Lajeado;977
Lapa;Lapa;613
Liberdade;Liberdade;512
Limão;Limao;681
Mandaqui;Mandaqui;847
Marsilac;Marsilac;51
Moema;Moema;565
Moóca;Mooca;776
Morumbi;Morumbi;313
Parelheiros;Parelheiros;759
Pari;Pari;150
Parque do Carmo;Parque do Carmo;449
Pedreira;Pedreira;721
Penha;Penha;1160
Perdizes;Perdizes;791
Perus;Perus;449
Pinheiros;Pinheiros;468
Pirituba;Pirituba;1276
Ponte Rasa;Ponte Rasa;739
Raposo Tavares;Raposo Tavares;562
República;Republica;391
Rio Pequeno;Rio Pequeno;796
Sacomã;Sacoma;1534
Santa Cecília;Santa Cecilia;654
Santana;Santana;1117
Santo Amaro;Santo Amaro;616
São Domingos;Sao Domingos;578
São Lucas;Sao Lucas;1076
São Mateus;Sao Mateus;1055
São Miguel;Sao Miguel;734
São Rafael;Sao Rafael;701
Sapopemba;Sapopemba;1752
Saúde;Saude;981
Sé;Se;161
Socorro;Socorro;336
Tatuapé;Tatuape;798
Tremembé;Tremembe;1411
Tucuruvi;Tucuruvi;932
Vila Andrade;Vila Andrade;596
Vila Curuçá;Vila Curuca;981
Vila Formosa;Vila Formosa;816
Vila Guilherme;Vila Guilherme;461
Vila Jacuí;Vila Jacui;834
Vila Leopoldina;Vila Leopoldina;227
Vila Maria;Vila Maria;857
Vila Mariana;Vila Mariana;1021
Vila Matilde;Vila Matilde;925
Vila Medeiros;Vila Medeiros;1063
Vila Prudente;Vila Prudente;913
Vila Sônia;Vila Sonia;660
Ignorado;Ignorado;14506
Total;Total;90933
